Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]"
GDP (current US$),"NY.GDP.MKTP.CD","Mauritius","MUS","2653480001.34558","4582555124.64952","9990370016.30771","9128843109.15588","10003670690.3497","11518393367.2403","11668685524.1265","12129642296.4425","12803445933.5894","11692287066.381","12168437744.2644",".."
GDP (current US$),"NY.GDP.MKTP.CD","Mexico","MEX","262709776007.964","683647965226.955","1101275278668.79","894948748436.748","1051128603513.77","1171187519660.64","1186598324461.82","1261981728468.52","1298461494903.14","1152263780657.86","1046922702460.87",".."
GDP (current US$),"NY.GDP.MKTP.CD","Micronesia, Fed. Sts.","FSM","147200000","233226300","262868600","279966700","296525300","310502100","326128700","316040600","317999400","315179700","329895600",".."
GDP (current US$),"NY.GDP.MKTP.CD","Moldova","MDA","..","1288429150.51394","6054806100.84681","5439422031.39627","5811604051.96737","7015206498.21955","7284686576.2835","7985349731.46471","7983271110.60446","6512899540.34594","6749515654.64419",".."
GDP (current US$),"NY.GDP.MKTP.CD","Monaco","MCO","2481316053.85316","2647883820.18625","6919241412.09365","5557245122.31576","5350674803.33858","6074884388.58937","..","..","..","..","..",".."
GDP (current US$),"NY.GDP.MKTP.CD","Mongolia","MNG","2560785660","1136896123.61298","5623216448.86851","4583850367.88972","7189481824.07288","10409797649.3063","12292770631.1967","12582122604.1921","12226514722.0861","11749620619.5962","11183458130.8083",".."
GDP (current US$),"NY.GDP.MKTP.CD","Montenegro","MNE","..","984279598.325251","4545674527.61096","4159330369.5471","4139192052.98013","4538198498.74896","4087724527.81704","4464260488.58205","4587928884.17142","4052913385.82677","4374127212.38938",".."
GDP (current US$),"NY.GDP.MKTP.CD","Morocco","MAR","30180108561.9305","38857251336.3448","92507257783.5697","92897320375.8176","93216746661.5977","101370474295.109","98266306615.3632","106825649872.108","110081248587.369","101187079462.942","103606321692.582",".."
GDP (current US$),"NY.GDP.MKTP.CD","Mozambique","MOZ","2512079324.07706","5016469068.50898","11494837053.4061","10911698208.1015","10154238250.1818","13131168011.807","14534278446.3087","16018848990.669","16961127045.8266","14798439527.2541","11014858591.8422",".."
GDP (current US$),"NY.GDP.MKTP.CD","Myanmar","MMR","..","8905066163.58643","31862554101.9378","36906181380.8127","49540813342.4834","59977326085.9908","59937797559.3295","60269734044.526","65446402659.1687","59687373958.2574","63225097051.255",".."
GDP (current US$),"NY.GDP.MKTP.CD","Namibia","NAM","2804379662.19611","3908661517.62299","8486721916.9128","8876191120.76189","11282192605.0374","12409629835.6998","13016272898.9038","12717790500.6163","12786078003.6304","11571141027.0478","10947880690.471",".."
GDP (current US$),"NY.GDP.MKTP.CD","Nauru","NRU","..","..","39333572.3247894","44290951.9252006","49248810.5726872","72751801.046087","103811958.762887","108601538.461538","117020381.931693","100459782.608696","102060129.577055",".."
GDP (current US$),"NY.GDP.MKTP.CD","Nepal","NPL","3627562402.66027","5494252207.90502","12545438605.3959","12854985464.0764","16002656434.4746","18913574370.76","18851513891.066","19271168018.482","20002968837.9471","21410840908.5198","21131983246.1855",".."
GDP (current US$),"NY.GDP.MKTP.CD","Netherlands","NLD","314267667675.178","412807259996.315","936228211513.11","857932759099.75","836389937229.197","893757287201.688","828946812396.788","866680000367.264","879635084124.987","757999453314.269","777227541581.307",".."
GDP (current US$),"NY.GDP.MKTP.CD","New Caledonia","NCL","2529310103.83608","2682347064.3642","..","..","..","..","..","..","..","..","..",".."
GDP (current US$),"NY.GDP.MKTP.CD","New Zealand","NZL","45495727006.5141","52623281956.7031","133279679482.674","121337372727.841","146580949348.893","168461998741.295","176192886551.397","190521962266.463","200697950944.336","175564427552.782","184970675762.691",".."
GDP (current US$),"NY.GDP.MKTP.CD","Nicaragua","NIC","1009455483.87097","5107329007.0922","8496965842.2767","8298695144.91507","8758622328.66963","9774316692.15985","10532001129.67","10982972256.3787","11880438824.4494","12747741539.7259","13230844686.858",".."
GDP (current US$),"NY.GDP.MKTP.CD","Niger","NER","2480673304.74309","1798374468.36362","5403363917.3096","5397121856.35204","5718589799.24366","6409169889.50891","6942209594.55433","7667951987.6933","8229730066.64442","7217666360.69521","7528387858.34739",".."
GDP (current US$),"NY.GDP.MKTP.CD","Nigeria","NGA","30757075595.3681","46386011231.37","208064753766.47","169481317540.364","369062464570.387","411743801711.642","460953836444.364","514966287206.505","568498937588.035","481066152889.094","404652720164.859",".."
GDP (current US$),"NY.GDP.MKTP.CD","Northern Mariana Islands","MNP","..","..","939000000","795000000","799000000","733000000","751000000","784000000","845000000","933000000","1242000000",".."
GDP (current US$),"NY.GDP.MKTP.CD","Norway","NOR","119791683307.507","171315639982.731","462554432624.114","386622457579.95","429130952709.224","498831558925.86","510229136226.902","523502127659.574","499338534779.159","386663139402.707","371075238095.238",".."
GDP (current US$),"NY.GDP.MKTP.CD","Oman","OMN","11685045513.6541","19507412223.6671","60905331599.4798","48388296488.9467","58641621846.554","67937307412.2237","76689583355.0065","78938585175.5527","81034395058.5175","69831770871.2614","66293368010.4031",".."
GDP (current US$),"NY.GDP.MKTP.CD","Pakistan","PAK","40010424928.715","73952374969.7995","170077814106.305","168152775283.032","177406854514.885","213587413183.996","224383620829.57","231218567178.979","244360888750.807","270556126820.064","278913371202.065",".."
GDP (current US$),"NY.GDP.MKTP.CD","Palau","PLW","76888000","147832600","196711500","186891100","183335100","200066900","215095100","228012200","246436300","297645400","310248300",".."
GDP (current US$),"NY.GDP.MKTP.CD","Panama","PAN","6433967000","12304115000","24522200000","26593500000","28917200000","34373820500","39954761200","44856189500","49165773100","52132289700","55187700000",".."
GDP (current US$),"NY.GDP.MKTP.CD","Papua New Guinea","PNG","3219730365","3521348154.79666","11670678863.7458","11619541940.4014","14250726289.854","17984816533.1084","21295834133.2309","21261305413.2323","23003575201.1051","21060901603.8145","20213214171.7204",".."
GDP (current US$),"NY.GDP.MKTP.CD","Paraguay","PRY","5695201563.42495","8195993230.74275","18504130752.9922","15929902138.1363","20030528042.9171","25099681460.8943","24595319573.7548","28965906502.2306","30881166852.3116","27282581335.7964","27424071382.7244",".."
GDP (current US$),"NY.GDP.MKTP.CD","Peru","PER","26410386669.3609","51744749133.213","120550599815.441","120822986521.479","147528937028.778","171761737046.585","192648999090.082","201217661645.509","201049665375.132","189212096470.293","192207342004.681",".."
GDP (current US$),"NY.GDP.MKTP.CD","Philippines","PHL","44311593755.7845","81026297144.2795","174195135053.121","168334599538.168","199590775190.258","224143083706.777","250092093547.532","271836123723.678","284584522898.872","292774099013.687","304905406845.291",".."
GDP (current US$),"NY.GDP.MKTP.CD","Poland","POL","65977749038.438","171885598582.637","533815789473.684","440346575957.897","479257883741.752","528725113045.826","500284003684.372","524201151607.188","545075908845.995","477279647754.701","471364408713.956",".."
GDP (current US$),"NY.GDP.MKTP.CD","Portugal","PRT","78721607509.4923","118358489957.619","262007590449.685","243745748819.116","238303443425.21","244895101712.451","216368178659.447","226073492966.495","229629822121.601","199420256049.689","205184480409.024",".."
GDP (current US$),"NY.GDP.MKTP.CD","Puerto Rico","PRI","30603919000","61701800000","93639316000","96385638000","98381268000","100351670000","101564800000","102450000000","102445800000","103143500000","105034500000",".."
GDP (current US$),"NY.GDP.MKTP.CD","Qatar","QAT","7360439423.07692","17759890109.8901","115270054945.055","97798351648.3516","125122306346.154","167775274725.275","186833516483.516","198727747252.747","206224725274.725","164641483516.484","152451923076.923",".."
GDP (current US$),"NY.GDP.MKTP.CD","Romania","ROU","38995454545.4545","37438527799.5302","208181626900.631","167422949529.4","167998080493.408","185362855081.021","171664638717.49","191549024910.604","199493490982.921","177911101680.106","187592037839.968",".."
GDP (current US$),"NY.GDP.MKTP.CD","Russian Federation","RUS","516814258695.568","259708496267.33","1660844408499.61","1222643696991.85","1524916112078.87","2051661732059.78","2210256976945.38","2297128039058.21","2063662665171.89","1365864126832.81","1283162985989.3",".."
GDP (current US$),"NY.GDP.MKTP.CD","Rwanda","RWA","2550185618.14774","1734938264.47371","4860576609.21568","5379378135.44102","5774003744.2708","6491683831.5094","7315702176.36442","7622526429.08839","8016288347.03577","8261034257.63248","8376048904.58291",".."
GDP (current US$),"NY.GDP.MKTP.CD","Samoa","WSM","125766269.755358","269019710.327456","644132488.887141","560959527.824621","643046733.391126","739785121.889922","801168622.338114","804808525.537223","803589511.754069","803985809.166289","786356314.80277",".."
GDP (current US$),"NY.GDP.MKTP.CD","San Marino","SMR","..","1101897071.81909","2752307016.25897","2363156432.34232","2139072847.68212","2054489852.65499","1800077091.09598","1865374402.54912","1845561894.65304","1569258068.0936","1590707964.60177",".."
GDP (current US$),"NY.GDP.MKTP.CD","Sao Tome and Principe","STP","..","..","188021168.8418","187821029.030558","197454053.144483","233213522.647122","252560557.085219","302925489.682558","348899846.089383","315880811.087464","342781715.52048",".."
GDP (current US$),"NY.GDP.MKTP.CD","Saudi Arabia","SAU","117630271802.403","189514926213.333","519796800000","429097866666.667","528207200000","671238840106.667","735974843360","746647127413.333","756350347333.334","651757333333.333","646438380560",".."
GDP (current US$),"NY.GDP.MKTP.CD","Senegal","SEN","5716644272.04692","4679604753.55711","13439023281.4707","12814961485.1001","12948906288.5576","14390776643.965","14225310518.7856","14851057084.776","15304363138.1804","13640668374.1652","14683697630.9",".."
GDP (current US$),"NY.GDP.MKTP.CD","Serbia","SRB","..","6540247190.33529","49259526052.7426","42616653299.9115","39460357730.5224","46466728666.6103","40742313861.1374","45519650911.4138","44210806365.6817","37160332465.1645","38299854688.1277",".."
GDP (current US$),"NY.GDP.MKTP.CD","Seychelles","SYC","368584758.942457","614879764.780006","967199593.960157","847397850.094417","969936525.298729","1065826669.89742","1134267367.19206","1411061260.70839","1422530791.5588","1437722206.38754","1427323889.0961",".."
GDP (current US$),"NY.GDP.MKTP.CD","Sierra Leone","SLE","649644826.800447","635874002.198748","2505458705.03338","2489985963.16808","2616610911.07222","2942546781.04548","3801862611.36414","4920343194.99339","5015180976.63457","4251869869.50755","3736588553.56394",".."
